Date,Open,High,Low,Close,Adj Close
8/29/2019,2407.370117,2434.469971,2407.370117,2418.340088,2418.340088
8/30/2019,2421.889893,2426.209961,2410.429932,2419.550049,2419.550049
9/3/2019,2408.97998,2410.949951,2387.610107,2408.639893,2408.639893
9/4/2019,2429.100098,2456.100098,2421.100098,2443.610107,2443.610107
9/5/2019,2439.409912,2477.919922,2439.409912,2462.73999,2462.73999
9/6/2019,2460.659912,2466.570068,2452.209961,2462.360107,2462.360107
9/9/2019,2466.070068,2481.709961,2466.070068,2480.370117,2480.370117
9/10/2019,2482.860107,2527.629883,2481.51001,2520.050049,2520.050049
9/11/2019,2517.840088,2540.179932,2515.149902,2538.709961,2538.709961
9/12/2019,2536.530029,2540.560059,2522.060059,2528.850098,2528.850098
9/13/2019,2532.01001,2547.030029,2531.52002,2536.550049,2536.550049
9/16/2019,2577.870117,2581.340088,2558.969971,2563.97998,2563.97998
9/17/2019,2563.689941,2578.469971,2541.100098,2571.439941,2571.439941
9/18/2019,2566.820068,2579.419922,2560.429932,2572.360107,2572.360107
9/19/2019,2579.629883,2584.23999,2561.459961,2562.469971,2562.469971
9/20/2019,2563.689941,2578.870117,2555.679932,2570.310059,2570.310059
9/23/2019,2567.169922,2579.709961,2564.929932,2568.330078,2568.330078
9/24/2019,2568.540039,2569.27002,2536.340088,2547.530029,2547.530029
9/25/2019,2547.530029,2547.530029,2528.189941,2531.850098,2531.850098
9/26/2019,2522.76001,2525.290039,2506.379883,2506.98999,2506.98999
9/27/2019,2502.790039,2513.330078,2497.25,2499.919922,2499.919922
9/30/2019,2499.919922,2502.850098,2488.159912,2488.159912,2488.159912
10/1/2019,2488.159912,2503.340088,2468.659912,2470.560059,2470.560059
10/2/2019,2460.25,2465.23999,2430.679932,2434.870117,2434.870117
10/3/2019,2421.459961,2435.179932,2408.01001,2433.300049,2433.300049
10/4/2019,2439.290039,2448.919922,2426.850098,2448.919922,2448.919922
10/7/2019,2452.419922,2457.929932,2427.469971,2427.469971,2427.469971
