Date,Close,Open,High,Low,Vol.,Change %
1/23/2023,79.5,77.83,79.72,76.66,17.41M,0.52%
1/20/2023,79.09,77.01,79.1,75.9,12.19M,3.05%
1/19/2023,76.75,76.26,77.42,75.96,10.02M,-0.72%
1/18/2023,77.31,79.8,80.75,77.12,13.60M,-3.58%
1/17/2023,80.18,80.14,80.67,78.88,11.26M,0.88%
1/13/2023,79.48,78.53,79.81,78.03,8.62M,-0.38%
1/12/2023,79.78,79.01,80.3,77.1,9.38M,1.58%
1/11/2023,78.54,78.67,79.19,77.82,10.64M,0.80%
1/10/2023,77.92,76.9,78.02,76.5,10.44M,1.09%
1/9/2023,77.08,77,78.76,76.53,12.97M,0.78%
1/6/2023,76.48,76.77,77.06,73.95,14.17M,0.28%
1/5/2023,76.27,77.3,77.32,75.65,11.11M,-1.83%
1/4/2023,77.69,76.11,78.48,75.43,19.14M,4.17%
1/3/2023,74.58,73.69,75.26,73.38,27.97M,4.72%
12/30/2022,71.22,69.48,71.26,69.06,10.18M,0.94%
12/29/2022,70.56,68.39,70.74,68.22,13.14M,4.46%
12/28/2022,67.55,68.12,69.47,67.29,8.90M,-1.14%
12/27/2022,68.33,68.96,69.24,67.68,10.32M,-1.01%
12/23/2022,69.03,68.05,69.25,67.71,9.99M,0.67%
12/22/2022,68.57,68.54,68.82,66.39,16.49M,-0.92%
12/21/2022,69.21,68.81,70.19,68.07,13.86M,0.65%
12/20/2022,68.76,68.39,70.13,68.13,9.47M,-0.28%
12/19/2022,68.95,69.06,69.6,67.75,15.33M,-0.45%
12/16/2022,69.26,69.4,70.86,68.45,25.74M,-0.73%
